variable,station,lead_days,test_rows,shape,mae_raw,mae_global_bias,mae_climatology,mae_model,valid_skill,valid_gain,test_skill,kept,shipped
wind_gusts_10m,Veraval,3,1775,seasonal,8.5076,5.3174,4.4434,4.1601,0.1927,0.9593,0.0638,True,True
wind_gusts_10m,Visakhapatnam,1,1775,seasonal,6.3835,5.25,5.4979,5.2249,0.0167,0.0867,0.0048,False,False
wind_gusts_10m,Visakhapatnam,2,1775,seasonal,6.5617,5.8307,6.0419,5.8555,0.037,0.2123,-0.0043,True,True
wind_gusts_10m,Visakhapatnam,3,1775,seasonal,7.0803,6.0941,6.1931,6.1112,0.0473,0.2763,-0.0028,True,True
wind_speed_10m,Chennai,1,1775,linear,2.8874,3.0524,4.1084,3.0308,0.0374,0.1062,-0.0496,True,False
wind_speed_10m,Chennai,2,1775,linear,3.0158,3.2784,4.5184,3.2653,0.0653,0.1852,-0.0827,True,False
wind_speed_10m,Chennai,3,1775,linear,3.127,3.4364,4.5909,3.3468,0.0843,0.2537,-0.0703,True,False
wind_speed_10m,Digha,1,1775,linear,3.2207,3.4556,3.3416,3.0207,0.0177,0.0557,0.0621,False,False
wind_speed_10m,Digha,2,1775,linear,3.8081,3.9847,3.9826,3.5827,0.0256,0.086,0.0592,True,False
wind_speed_10m,Digha,3,1775,seasonal,4.2606,4.3269,4.5337,3.8827,0.0485,0.1733,0.0887,True,False
wind_speed_10m,Kochi,1,1775,seasonal,2.9027,3.2208,6.9295,2.955,0.1619,0.4717,-0.018,True,False
wind_speed_10m,Kochi,2,1775,seasonal,3.0683,3.2608,6.3747,3.0019,0.2651,0.8899,0.0216,True,False
wind_speed_10m,Kochi,3,1775,seasonal,3.1415,3.2906,6.9463,3.0426,0.2908,1.0338,0.0315,True,False
wind_speed_10m,Mangaluru,1,1775,seasonal,3.0344,3.1817,5.2342,3.0569,0.1138,0.3212,-0.0074,True,False
wind_speed_10m,Mangaluru,2,1775,seasonal,3.0305,3.1439,4.6397,3.0108,0.2026,0.6696,0.0065,True,False
wind_speed_10m,Mangaluru,3,1775,seasonal,3.2161,3.2988,4.7007,3.1056,0.2209,0.7481,0.0344,True,False
wind_speed_10m,Paradip,1,1775,linear,3.2607,3.6068,7.8283,3.5887,0.044,0.1701,-0.1006,True,False
wind_speed_10m,Paradip,2,1775,linear,3.7873,3.9706,7.5629,3.9143,0.0696,0.2761,-0.0335,True,False
wind_speed_10m,Paradip,3,1775,linear,4.3591,4.3818,7.3855,4.2589,0.0986,0.408,0.023,True,False
wind_speed_10m,Rameswaram,1,1775,linear,3.8765,4.2163,10.4751,5.0064,-0.1624,-0.7793,-0.2915,False,False
wind_speed_10m,Rameswaram,2,1775,linear,4.2824,4.7212,11.8493,5.4879,-0.1627,-0.8286,-0.2815,False,False
wind_speed_10m,Rameswaram,3,1775,linear,4.4583,4.958,12.802,5.7811,-0.1328,-0.7834,-0.2967,False,False
wind_speed_10m,Veraval,1,1775,linear,2.306,3.3413,7.007,3.3515,-0.2259,-0.4213,-0.4534,False,False
wind_speed_10m,Veraval,2,1775,linear,3.1875,4.2884,7.9714,3.5976,-0.2144,-0.4068,-0.1286,False,False
wind_speed_10m,Veraval,3,1775,linear,3.8376,5.0305,8.381,3.7795,-0.0811,-0.1753,0.0151,False,False
wind_speed_10m,Visakhapatnam,1,1775,linear,2.5189,3.0214,4.3672,2.522,0.007,0.0169,-0.0012,False,False
wind_speed_10m,Visakhapatnam,2,1775,linear,2.7311,3.0847,4.2072,2.6577,0.0376,0.1014,0.0269,True,False
wind_speed_10m,Visakhapatnam,3,1775,linear,2.9988,3.3509,4.3955,2.8369,0.0624,0.1771,0.054,True,False
